epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0367,1.00848,1.81941,2.6631,0.91328,0.70837,0.67925,0.68718,0.52273,0.71329,0.68396,0.69356,0.45996,0.94447,1.61952,1.48141,0.90552,0.0673626,0.00032967,0.00032967
2,53.1016,0.83384,1.49407,1.32208,0.88432,0.69835,0.71698,0.67353,0.4938,0.6995,0.71816,0.6716,0.44222,0.94164,1.57587,1.08332,0.91295,0.034362,0.000662341,0.000662341
3,76.2846,0.76186,1.3244,1.02797,0.86197,0.69154,0.71911,0.68977,0.51919,0.69041,0.71793,0.68831,0.46218,0.92997,1.54737,1.28306,0.90151,0.00136064,0.000994344,0.000994344
4,99.4105,0.74196,1.2871,0.92456,0.84897,0.70705,0.72052,0.71284,0.54256,0.70694,0.71968,0.71151,0.47624,0.93648,1.54353,0.96922,0.90035,0.000997,0.000997,0.000997
5,122.428,0.71803,1.21922,0.8166,0.84312,0.64328,0.67837,0.63212,0.46655,0.64216,0.67719,0.62914,0.4074,0.92529,1.50881,1.19592,0.90092,0.000996,0.000996,0.000996
6,146.383,0.72124,1.21571,0.76436,0.84514,0.67853,0.68396,0.68969,0.52248,0.6781,0.68514,0.68641,0.45292,0.93644,1.51484,0.97552,0.90323,0.000995,0.000995,0.000995
7,169.253,0.69639,1.17142,0.725,0.84745,0.67011,0.73821,0.69094,0.52412,0.6706,0.72982,0.68666,0.46218,0.93693,1.55663,1.04473,0.90673,0.000994,0.000994,0.000994
8,191.964,0.66635,1.16429,0.66391,0.83591,0.6647,0.72052,0.68623,0.51796,0.68037,0.70285,0.68136,0.45576,0.95023,1.52716,0.98456,0.90885,0.000993,0.000993,0.000993
9,215.676,0.70145,1.16109,0.68062,0.84575,0.6519,0.71993,0.68107,0.51841,0.65296,0.72111,0.68184,0.45643,0.94759,1.53093,1.06904,0.90568,0.000992,0.000992,0.000992
10,238.31,0.67625,1.14457,0.65134,0.83829,0.595,0.69929,0.60788,0.45449,0.5955,0.70401,0.60753,0.39429,0.93865,1.53336,1.10956,0.90322,0.000991,0.000991,0.000991
11,261.256,0.67142,1.06063,0.60036,0.83788,0.61686,0.72524,0.65757,0.49575,0.62019,0.72877,0.65982,0.44067,0.94829,1.59872,1.05581,0.90502,0.00099,0.00099,0.00099
12,284.858,0.65832,1.09838,0.57373,0.83132,0.66578,0.69533,0.68207,0.5218,0.66578,0.69533,0.67825,0.45655,0.95039,1.53409,1.00282,0.9004,0.000989,0.000989,0.000989
13,307.658,0.63333,1.05331,0.56509,0.83023,0.63493,0.71344,0.67079,0.51394,0.63493,0.71344,0.66893,0.45025,0.91913,1.52644,1.03048,0.90146,0.000988,0.000988,0.000988
14,330.742,0.63186,1.02661,0.5514,0.8278,0.63288,0.71356,0.62662,0.46231,0.63541,0.70991,0.62275,0.41146,0.93169,1.53699,1.17314,0.90578,0.000987,0.000987,0.000987
